"","...1","monitoring_status","treatment_burn","experiment","status","count"
"1",1,"PreBurn","control","old","live",18
"2",1,"PreBurn","control","old","dead",0
"3",1,"PreBurn","control","old","topkill",0
"4",2,"PreBurn","dormant_burn","old","live",37
"5",2,"PreBurn","dormant_burn","old","dead",0
"6",2,"PreBurn","dormant_burn","old","topkill",0
"7",3,"PreBurn","leafout_burn","old","live",22
"8",3,"PreBurn","leafout_burn","old","dead",0
"9",3,"PreBurn","leafout_burn","old","topkill",0
"10",4,"PostBurnYear1","control","old","live",18
"11",4,"PostBurnYear1","control","old","dead",0
"12",4,"PostBurnYear1","control","old","topkill",0
"13",5,"PostBurnYear1","dormant_burn","old","live",36
"14",5,"PostBurnYear1","dormant_burn","old","dead",1
"15",5,"PostBurnYear1","dormant_burn","old","topkill",1
"16",6,"PostBurnYear1","leafout_burn","old","live",16
"17",6,"PostBurnYear1","leafout_burn","old","dead",1
"18",6,"PostBurnYear1","leafout_burn","old","topkill",5
"19",7,"PostBurnYear2","control","old","live",18
"20",7,"PostBurnYear2","control","old","dead",0
"21",7,"PostBurnYear2","control","old","topkill",0
"22",8,"PostBurnYear2","dormant_burn","old","live",35
"23",8,"PostBurnYear2","dormant_burn","old","dead",1
"24",8,"PostBurnYear2","dormant_burn","old","topkill",2
"25",9,"PostBurnYear2","leafout_burn","old","live",16
"26",9,"PostBurnYear2","leafout_burn","old","dead",2
"27",9,"PostBurnYear2","leafout_burn","old","topkill",5
