macro_plot_name,treatment_burn,experiment
_172,post_budbreak,new
_173,post_budbreak,new
_199,post_budbreak,new
_198,post_budbreak,new
_170,post_budbreak,new
_200,post_budbreak,new
_175,post_budbreak,new
_171,post_budbreak,new
_176,pre_budbreak,new
_177,pre_budbreak,new
_196,pre_budbreak,new
_197,pre_budbreak,new
_179,pre_budbreak,new
_195,pre_budbreak,new
_180,pre_budbreak,new
_181,pre_budbreak,new
_156,control,old
_157,control,old
_158,control,old
_153,control,old
_152,control,old
_154,control,old
_150,control,old
_190,control,new
_191,control,new
_128,post_budbreak,old
_129,pre_budbreak,old
_130,post_budbreak,old
_131,post_budbreak,old
_132,post_budbreak,old
_133,post_budbreak,old
_134,pre_budbreak,old
_135,pre_budbreak,old
_136,pre_budbreak,old
_137,pre_budbreak,old
_138,pre_budbreak,old
_139,pre_budbreak,old
_140,post_budbreak,old
_141,post_budbreak,old
_142,post_budbreak,old
_143,post_budbreak,old
_144,post_budbreak,old
_145,post_budbreak,old
_146,pre_budbreak,old
_147,pre_budbreak,old
_148,pre_budbreak,old
_149,pre_budbreak,old
_151,pre_budbreak,old
